Categor 9,"In Revelation 22, evildoers who are left out of heaven are referred to as what animal?",Dogs ,Snails,Lice,Pigs,Revelation,Revelation 22:15
Categor 9,"In the book of Revelation, what form did the three unclean spirits that came out of the mouths of a dragon, a beast and a false prophet take?",Frogs ,Serpents,Worms,Rams,Revelation,Revelation 16:13
Categor 9,What is the last word in the Bible?,Amen,You ,Curse,Jesus,Revelation,Revelation 22:21
Categor 9,Who is the revelator of the book of Revelation?,"Jesus		",John,Paul,Peter,Revelation,Revelation 1:1
Categor 9,Who brought the revelation to the writer of the book of Revelation?,"An Angel		",Jesus,John ,The Holy Spirit,Revelation,Revelation 1:1
Categor 9,Who wrote the book of Revelation?,"John			",Paul,Enoch,Luke,Revelation,Revelation 1:1
Categor 9,"What did John say about those who read the book of Revelation, hear the words of its prophecy and “keep those things which are written therein”?",They are blessed,They are saints ,They are lucky,They will never see death,Revelation,Revelation 1:3
Categor 9,Who is the book of Revelation addressed to?,"The seven churches in Asia		",The church at Jerusalem,The Apostles,The six nations,Revelation,Revelation 1:4
Categor 9,"In the book of Revelation, what two things did John wish on the seven churches in Asia?",Grace and Peace,Grace and health,Grace and riches,Peace and health,Revelation,Revelation 1:4
Categor 9,"In Revelations, how many spirits are before the throne of the being described as “he which is and which was, and which is to come”?","7		",5,10,9,Revelation,Revelation 1:4
Categor 9,How many churches are addressed in the book of Revelation? ,"7		",12,6,9,Revelation,Revelation 1:4
Categor 9,"In the book of Revelation, what did John say Jesus used to wash away sins?",His blood,Fire,The Holy Ghost,Water of baptism,Revelation,Revelation 1:5
Categor 9,"In the book of Revelation, who is referred to as the prince of the kings of the earth?",Jesus,Caesar,Satan,The Beast,Revelation,Revelation 1:5
Categor 9,Who is referred to in the book of Revelation as the first begotten of the dead?,"Jesus		",Lazarus,John,Enoch,Revelation,Revelation 1:5
Categor 9,"In the book of Revelation, who is referred to as the faithful witness?","Jesus		",John,Peter,Paul,Revelation,Revelation 1:5
Categor 9,"In the book of Revelation, who or what is said to wash us?","Jesus		",Water,Oil,The church,Revelation,Revelation 1:5
Categor 9,What does the writer of the book of Revelation say Jesus has made his followers unto God?,Kings and priests,Princes and servants,Priests and soldiers,Kings and princes,Revelation,Revelation 1:6
Categor 9,"In the first chapter of Revelation, how did John say Jesus will return?",With clouds,With thunder,With lightening,With fire and brimstone,Revelation,Revelation 1:7
Categor 9,"In the book of Revelation, who did John say would see Jesus upon his return?",Every eye,No one,The saints,Half the nations,Revelation,Revelation 1:7
Categor 9," In the book of Revelation, who describes himself as “Alpha and Omega”?",The Lord,John,The Beast,The archangel,Revelation,Revelation 1:8
Categor 9,"In writing to his fellow Christians, the writer of the book of Revelation describes himself as their brother and companion in what?",Tribulation,Joy,Truth,The gospel,Revelation,Revelation 1:9
Categor 9,Where was the writer of the book of Revelation when he had his visions?,"Patmos 		",Jerusalem ,Rome,Turkey,Revelation,Revelation 1:9
Categor 9,How does the writer of the book of Revelation describe the great voice that said: “I am Alpha and Omega”?,"As a trumpet		",As thunder,As an earthquake,As a loud noise,Revelation,Revelation 1:10
Categor 9,Which of the following is among the seven churches in Asia mentioned in the book of Revelation?,Ephesus,Corinth,Philippi,Caesarea Maritima,Revelation,Revelation 1:11
Categor 9,Which of the following is among the seven churches in Asia mentioned in the book of Revelation?,Smyrna,Capernaum,Antioch of Pisidia,Tyre,Revelation,Revelation 1:11
Categor 9,Which of the following is among the seven churches in Asia mentioned in the book of Revelation?,Pergamos,Pisidia,Sidon,Tyre,Revelation,Revelation 1:11
Categor 9,Which of the following is among the seven churches in Asia mentioned in the book of Revelation?,Thyatira,Philippi,Caesarea Maritima,Corinth,Revelation,Revelation 1:11
Categor 9,Which of the following is among the seven churches in Asia mentioned in the book of Revelation?,Sardis,Capernaum,Antioch of Pisidia,Sidon,Revelation,Revelation 1:11
Categor 9,Which of the following is among the seven churches in Asia mentioned in the book of Revelation?,Philadelphia,Antioch of Pisidia,Tyre,Corinth,Revelation,Revelation 1:11
Categor 9,Which of the following is among the seven churches in Asia mentioned in the book of Revelation?,Laodicea,Antioch of Pisidia,Tyre,Capernaum,Revelation,Revelation 1:11
Categor 9,"Finish this verse in the book of Revelation: “And being turned, I saw seven golden…”",Candlesticks,Goblets,Swords,Platters,Revelation,Revelation 1:12
Categor 9,"In the book of Revelation, how long was the garment worn by the being the writer describes as like the “Son of man”?","To the foot		",To the Knee,To the calf,To the Thigh,Revelation,Revelation 1:13
Categor 9,"In the book of Revelation, where on his body did the being described as resembling the “Son of man” wear a girdle?","Chest			",Waist,Hip,Loins,Revelation,Revelation 1:13
Categor 9,"In the book of Revelation, what kind of girdle was worn by the being described as resembling the “Son of man”?","Golden 		",Silver ,Emerald ,Bronze,Revelation,Revelation 1:13
Categor 9,"In the book of Revelation, what was the hair color of the being described as like the “Son of man”?","White 		",Black,Red,Brown,Revelation,Revelation 1:14
Categor 9,"In the book of Revelation, how did the writer describe the eyes of the being that looked like “the Son of man”?","As a flame of fire		",As burning coals,As frozen ice,As shining emeralds,Revelation,Revelation 1:14
Categor 9,"In the book of Revelation, what did the feet of the being resembling the “Son of man” look like?","Fine brass 			",Gold,Copper,Silver,Revelation,Revelation 1:15
Categor 9,"In the book of Revelation, what did the voice of the being resembling the “Son of man” sound like?","Many waters		",Thunder,A Bugle,A lion's roar,Revelation,Revelation 1:15
Categor 9,What was in the right hand of the being resembling the “Son of man” in the book of Revelation?,"Stars		",Candlesticks ,Crowns,Orbs,Revelation,Revelation 1:16
Categor 9,"In the book of Revelation, how many items did the being that looked like the “Son of man” have in his right hand?","7		",5,10,3,Revelation,Revelation 1:16
Categor 9,"In the book of Revelation, what went out of the mouth of the being that resembled the “Son of man”?","A sharp two-edged sword		",A flaming sword,Lighting ,Smoke,Revelation,Revelation 1:16
Categor 9,Who referred to himself in the book of Revelation as the first and the last?,"Jesus			",God,Caesar,Herod,Revelation,Revelation 1:17
Categor 9,"In the book of Revelation, what keys did the being who looked like “the Son of man” say he had?","The keys to hell and death			",The keys to Heaven,The keys of prosperity and riches,The keys to life eternal,Revelation,Revelation 1:18
Categor 9,What do the seven stars in the right hand of the being that looked like “the Son of man” symbolize in the book of Revelation?,"The angels of the seven churches		",The seven churches,The seven major apostles,The seven continents,Revelation,Revelation 1:20
