Category 1,"Which Israelite leader said these words: “How can I myself alone bear your cumbrance, and your burden, and your strife?”",Moses,Paul ,Jesus,King Saul,Deuteronomy,Deuteronomy 1:12
Category 1,"According to Deuteronomy, who was the leader of Israel when King Og was killed?",Moses,Aaron,David,Saul,Deuteronomy,Deuteronomy 1:4
Category 1,"According to Deuteronomy, who was the leader of Israel when King Sihon was killed?",Moses,Caleb ,Joshua,Laban,Deuteronomy,Deuteronomy 1:4
Category 1,"In Deuteronomy, where was Israel when God said: “Ye have dwelt long enough in this mount”?",Mount Horeb,Mount of Olive,Mount Sinai,Mount Edom,Deuteronomy,Deuteronomy 1:6
Category 1,Moses begins his speech to the Israelites in Deuteronomy by telling them to go to the mount of which people?,Amorites,Hittites ,Canaanites,Danites,Deuteronomy,Deuteronomy 1:7
Category 1,"In Deuteronomy, who does Moses mention as living at the sea side?",Canaanites,Amorites,Hittites ,Danites,Deuteronomy,Deuteronomy 1:7
Category 1,"Who says these words in Deuteronomy: “Behold, I have set the land before you: go in and possess the land which the LORD sware unto your fathers, Abraham, Isaac, and Jacob”?",Moses,Joshua,Caleb,Barak,Deuteronomy,Deuteronomy 1:8
Category 1,"Who were these words spoken to: “Behold, I have set the land before you: go in and possess the land which the LORD sware unto your fathers, Abraham, Isaac, and Jacob”?",The children of Israel,King David,King Solomon,The children of Noah,Deuteronomy,Deuteronomy 1:8
Category 1,"Who spoke these words in Deuteronomy: “And I spake unto you at that time, saying, I am not able to bear you myself alone”?",Moses,Aaron,God ,Pharaoh,Deuteronomy,Deuteronomy 1:9
Category 1,"Who says these words: “The LORD your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude”?",Moses,Jacob,Isaac,Abraham,Deuteronomy,Deuteronomy 1:10
Category 1,"Who are these words spoken to: “The LORD your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude”?",The children of Israel,Jacob,Abraham,Isaac,Deuteronomy,Deuteronomy 1:10
Category 1,"In Deuteronomy, Moses asks that God would multiply Israel how many times more that he had done before?","1,000","10,000",100,10,Deuteronomy,Deuteronomy 1:11
Category 1,"In Deuteronomy, what does Moses tell the children of Israel he is unable to bear alone?",Their problems,Their love,Their affection,Their loyalty,Deuteronomy,Deuteronomy 1:12
Category 1,"To whom were these words said: “Behold, the LORD thy God hath set the land before thee: go up and possess it, as the LORD God of thy fathers hath said unto thee; fear not, neither be discouraged”?",Children of Israel,Abraham,Nimrod,Isaac,Deuteronomy,Deuteronomy 1:21
Category 1,"In Deuteronomy, what does Moses tell the children of Israel he is unable to bear alone?",Their burden,Their affection,Their loyalty,Their aspirations,Deuteronomy,Deuteronomy 1:12
Category 1,"According to Deuteronomy, which nation did King Og rule?",Bashan,Israel,Samaria,Cyprus,Deuteronomy,Deuteronomy 1:4
Category 1,"Who are these words addressed to: “How can I myself alone bear your cumbrance, and your burden, and your strife?”",The children of Israel,Jesus’ disciples,The church at Antioch,The disciples of John,Deuteronomy,Deuteronomy 1:12
Category 1,Who did Moses ask the Israelites to take from among them to be rulers over them?,Wise men,Old men,Wise women,Priests,Deuteronomy,Deuteronomy 1:13
Category 1,"Who said to Moses, “The thing which thou hast spoken is good for us to do”?",Children of Israel,Pharaoh,Joshua,Aaron,Deuteronomy,Deuteronomy 1:14
