Category 4,Isaiah 11:8 states that the child will play with what dangerous animal?,Asp,Crocodile,Wolf,Griffon,Isaiah,Isaiah 11:8
Category 4,Isaiah 14 warns Philistines of impending danger with a metaphor using what animal?,Serpent ,Lion,Bull ,Eagle,Isaiah,Isaiah 14:29
Category 4,Isaiah 59:5 compares the wicked to which of these animals?,Snake,Fox,Donkey,Moth ,Isaiah,Isaiah 59:5
Category 4,Isaiah 59:5 compares the wicked to which of these animals?,Spider,Snail,Lizard,Louse,Isaiah,Isaiah 59:5
Category 4,Jeremiah 8 states that God will send what animal against his people?,Serpents ,Locusts,Birds of prey,Lions,Jeremiah,Jeremiah 8:17
Category 4,Isaiah 30 says that Judah will carry their riches and treasures upon which of these animals?,Donkeys,Oxen,Horses,Bulls,Isaiah,Isaiah 30:6
Category 4,Isaiah 30 says that Judah will carry their riches and treasures upon which of these animals?,Camels,Cattle,Behemoths,Mules,Isaiah,Isaiah 30:6
Category 4,"In Isaiah chapter 1, a rebellious Israel is unfavorably compared to which of these animals?",Ox,Ant,Hen,Sheep,Isaiah,Isaiah 1:3
Category 4,"In Isaiah chapter 1, a rebellious Israel is unfavorably compared to which of these animals?",Donkey,Cow,Camel,Sparrow,Isaiah,Isaiah 1:3
Category 4,Which Old Testament prophet predicted Jesus’ entrance into Jerusalem on a donkey?,Zechariah,Ezekiel,Jeremiah,Isaiah,Zechariah,Zechariah 9:9
Category 4,Which animal did king Nebuchadnezzar live among during his fall from power?,Donkey ,Swine,Cattle,Sheep,Daniel,Daniel 5:21
Category 4,"In Jeremiah 2:24, God compares Israel to what animal “that snuffeth up the wind at her pleasure”?",Donkey ,Cattle,Kine ,Boar,Jeremiah,Jeremiah 2:24
Category 4,"In Jeremiah 14, during Judah’s drought these animals “snuffed up the wind like dragons; their eyes did fail, because there was no grass.”",Donkeys,Sheep,Cows,Goats,Jeremiah,Jeremiah 14:6
Category 4,"In Ezekiel 16, what animal’s skin did God say he used to make shoes for his people Israel?",Badger ,Kine,Quail,Sheep,Ezekiel,Ezekiel 16:10
Category 4,"In the end days, according to Isaiah 2, people will throw their gold and silver idols to this animal.",Mole,Pig,Dog,Eagle,Isaiah,Isaiah 2:20
Category 4,"In the end days, according to Isaiah 2, people will throw their gold and silver idols to this animal.",Bat,Beetle,Hyena,Dog,Isaiah,Isaiah 2:20
Category 4,"In Isaiah 59, what animal does the prophet say repentant sinners roar like?",Bear,Lion,Dragon,Behemoth,Isaiah,Isaiah 59:11
Category 4,"In Isaiah 59, what animal does the prophet say repentant sinners mourn like?",Doves,Cat,Sheep,Cattle,Isaiah,Isaiah 59:11
Category 4,To what animal lying in wait does Lamentations 3 compare God?,Bear,Asp,Leviathan,Hawk,Lamentations,Lamentations 3:10
Category 4,To what animal in “secret places” does Lamentations 3 compare God?,Lion,Wolf,Fox,Viper,Lamentations,Lamentations 3:10
Category 4,"In Hosea 13, the Lord expresses his anger toward Israel for their idol worship, and compares himself to what animal attacking them?",Lion,Lynx,Hawk,Asp,Hosea,Hosea 13:7
Category 4,"In Hosea 13, the Lord expresses his anger toward Israel for their idol worship, and compares himself to what animal attacking them?",Leopard,Tiger,Bobcat,Jackal,Hosea,Hosea 13:7
Category 4,"In Hosea 13, the Lord expresses his anger toward Israel for their idol worship, and compares himself to what animal attacking them?",Bear,Adder,Wolf,Tiger,Hosea,Hosea 13:7
Category 4," In Daniel’s dream of the four beasts representing four kings of the earth, which beast appeared first in his dream?",Lion,Bear ,Leopard,Beast with ten horns,Daniel,Daniel 7:5
Category 4,"In Daniel’s dream of the four beasts representing four kings of the earth, which beast appeared second in his dream?",Bear,Lion ,Leopard,Beast with ten horns,Daniel,Daniel 7:5
Category 4,"In Daniel’s dream of the four beasts representing four kings of the earth, which beast appeared third in his dream?",Leopard,Lion ,Bear ,Beast with ten horns,Daniel,Daniel 7:5
Category 4,"In Daniel’s dream of the four beasts representing four kings of the earth, which beast appeared fourth in his dream?",Beast with ten horns,Lion ,Leopard,Bear,Daniel,Daniel 7:5
Category 4,"In Isaiah 7, what animal does the prophet use to describe Egypt, which would rise against Israel?",Fly,Hawk,Asp,Fox,Isaiah,Isaiah 7:18
Category 4,"In Isaiah 7, what animal does the prophet use to describe Assyria, which would rise against Israel?",Bee ,Vulture,Maggot,Wolf,Isaiah,Isaiah 7:18
Category 4,"In Isaiah 14:23, God says he will destroy Babylon, making it a possession for what animals?",Bitterns,Adders,Vultures,Leopards,Isaiah,Isaiah 14:23
Category 4,"In Isaiah 34, which of the following birds did God not mention as dwelling in Idumea (land of Edom) during the destruction of nations?",Crow,Raven,Cormorant,Owl,Isaiah,Isaiah 34:11
Category 4,"In Zephaniah 2, which of the following birds does the prophet say will live in a desolate Nineveh?",Cormorant,Osprey,Pigeon,Vulture,Zephaniah,Zephaniah 2:14
Category 4,"In Zephaniah 2, which of the following birds does the prophet say will live in a desolate Nineveh?",Bittern,Hoope,Quail,Lapwing,Zephaniah,Zephaniah 2:14
Category 4,"When the prophet Amos warned Israelites against pride, which of the following animals did he say those that “lie upon beds of ivory, and stretch themselves upon their couches” eat?",Lambs,Ducks ,Goats,Oxen,Amos,Amos 6:4
Category 4,"When the prophet Amos warned Israelites against pride, which of the following animals did he say those that “lie upon beds of ivory, and stretch themselves upon their couches” eat?",Calves,Shrimp ,Oxen,Quail,Amos,Amos 6:4
Category 4,"According to Jeremiah 34, the halves of what animal were men to walk between to confirm their covenant with God?",Calf ,Goat,Ox,Lamb,Jeremiah,Jeremiah 34:18
